"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","connected_by","rank_user","rank_user href","show_movies 2","show_movies 3"
",  round robin - 2nd round","2022-09-11 21:00","Tournoi de France 2022","https://women.volleybox.net/tr/women-tournoi-de-france-2022-o25842/matches","Le Phare, Belfort","https://women.volleybox.net/tr/le-phare-a1538/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/japan-argentina-c128542","31","1","https://i.goopics.net/6cjo9s.jpg","2 yıl önce önce  tarafından eklendi","Sudo","https://women.volleybox.net/tr/user/Sudo","",""
",  round robin - 3rd round","2022-09-13 18:00","Tournoi de France 2022","https://women.volleybox.net/tr/women-tournoi-de-france-2022-o25842/matches","Palestra, Chaumont","https://women.volleybox.net/tr/palestra-a2967/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/colombia-argentina-c128544","34","1","https://i.goopics.net/gjsszv.jpg","2 yıl önce önce  tarafından eklendi","Sudo","https://women.volleybox.net/tr/user/Sudo","",""
",  round robin - 4th round","2022-09-15 21:30","Tournoi de France 2022","https://women.volleybox.net/tr/women-tournoi-de-france-2022-o25842/matches","Centre sportif intercommunal, Sélestat","https://women.volleybox.net/tr/centre-sportif-intercommunal-a4863/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/france-argentina-c128548","35","1","https://i.goopics.net/ugm5aq.jpg","2 yıl önce önce  tarafından eklendi","Sudo","https://women.volleybox.net/tr/user/Sudo","",""
",  round robin - 5th round","2022-09-17 21:00","Tournoi de France 2022","https://women.volleybox.net/tr/women-tournoi-de-france-2022-o25842/matches","Parc des Expos, Metz","https://women.volleybox.net/tr/parc-des-expos-a4864/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/belgium-argentina-c128551","35","1","https://i.goopics.net/icgf32.jpg","2 yıl önce önce  tarafından eklendi","Sudo","https://women.volleybox.net/tr/user/Sudo","",""
",  5th place match","2022-09-18 15:00","Tournoi de France 2022","https://women.volleybox.net/tr/women-tournoi-de-france-2022-o25842/matches","Les Arenes, Metz","https://women.volleybox.net/tr/les-arenes-a159/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/argentina-canada-c131183","16","1","https://i.goopics.net/seyih6.jpg","2 yıl önce önce  tarafından eklendi","Sudo","https://women.volleybox.net/tr/user/Sudo","1",""
",  Group D","2022-09-25 15:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/china-argentina-c113263","140","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540385","3 yıl önce önce  tarafından eklendi","I…Y","","2","1"
",  Group D","2022-09-26 19:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/brazil-argentina-c113266","138","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540637","3 yıl önce önce  tarafından eklendi","I…Y","","1","2"
",  Group D","2022-09-28 19:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/argentina-colombia-c113270","137","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541254","3 yıl önce önce  tarafından eklendi","I…Y","","1","2"
",  Group D","2022-09-30 19:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/colombia-argentina-c113273","138","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542164","3 yıl önce önce  tarafından eklendi","I…Y","","1","2"
",  Group D","2022-10-02 15:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/japan-argentina-c113276","139","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542364","3 yıl önce önce  tarafından eklendi","I…Y","","2","2"
",  Group E","2022-10-04 21:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/netherlands-argentina-c132313","99","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542820","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto","1","1"
",  Group E","2022-10-05 21:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/belgium-argentina-c132586","94","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543112","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto","1","1"
",  Group E","2022-10-07 18:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/italy-argentina-c132629","103","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543641","2 yıl önce önce  tarafından eklendi","panbajt","https://women.volleybox.net/tr/user/panbajt","1","1"
",  Group E","2022-10-09 19:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c132637","111","","","2 yıl önce önce  tarafından eklendi","panbajt","https://women.volleybox.net/tr/user/panbajt","1","1"
",  Group B","2022-10-11 17:18","Güney Amerika Oyunları 2022","https://women.volleybox.net/tr/women-south-american-games-2022-o26330/matches","Federación Paraguaya de Voleibol - SND, Asunción","https://women.volleybox.net/tr/federacion-paraguaya-de-voleibol-snd-a4986/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bolivia-t715/matches","https://volleybox.net/media/img/light-px.png","Bolivya","https://women.volleybox.net/tr/argentina-bolivia-c133828","","","","2 yıl önce önce  tarafından eklendi","","","",""
",  semi-final","2022-10-13 17:00","Güney Amerika Oyunları 2022","https://women.volleybox.net/tr/women-south-american-games-2022-o26330/matches","Federación Paraguaya de Voleibol - SND, Asunción","https://women.volleybox.net/tr/federacion-paraguaya-de-voleibol-snd-a4986/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/argentina-chile-c134278","","","","2 yıl önce önce  tarafından eklendi","","","",""