"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","connected_by","rank_editor","rank_editor href","show_movies","show_movies 2","show_movies href","rank_user","rank_user href"
",  Group A","2021-05-29 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Horia Demian Sports Hall, Cluj-Napoca","https://women.volleybox.net/tr/horia-demian-sports-hall-a2425/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/upload/teams/nt_flag_Azerbaijan.png","0 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","Romanya","https://women.volleybox.net/tr/azerbaijan-romania-c71781","28","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","","",""
",  Group A","2021-05-30 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Horia Demian Sports Hall, Cluj-Napoca","https://women.volleybox.net/tr/horia-demian-sports-hall-a2425/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","2 : 3","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/upload/teams/nt_flag_Spain.png","İspanya","https://women.volleybox.net/tr/romania-spain-c71783","24","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","","",""
",  Group A","2021-06-04 21:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Salle Régionale des Sports Maréchal, Harnes","https://women.volleybox.net/tr/salle-regionale-des-sports-marechal-a1299/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/romania-france-c71786","27","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","","",""
",  Group A","2021-06-05 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Salle Régionale des Sports Maréchal, Harnes","https://women.volleybox.net/tr/salle-regionale-des-sports-marechal-a1299/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/romania-spain-c71814","26","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","","","",""
",  Group A","2021-06-06 16:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Salle Régionale des Sports Maréchal, Harnes","https://women.volleybox.net/tr/salle-regionale-des-sports-marechal-a1299/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/azerbaijan-romania-c71788","27","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","","",""
",  Group D","2021-08-18 21:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","BTarena, Cluj-Napoca","https://women.volleybox.net/tr/btarena-a3209/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/romania-turkey-c75820","41","3 yıl önce önce  tarafından eklendi","","","3","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46336","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group D","2021-08-21 20:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","BTarena, Cluj-Napoca","https://women.volleybox.net/tr/btarena-a3209/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/img/light-px.png","İsveç","https://women.volleybox.net/tr/romania-sweden-c75838","44","3 yıl önce önce  tarafından eklendi","","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46342","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group D","2021-08-22 20:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","BTarena, Cluj-Napoca","https://women.volleybox.net/tr/btarena-a3209/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/netherlands-romania-c75840","45","3 yıl önce önce  tarafından eklendi","","","","1","https://eurovolley.cev.eu/en/match-centres/2021/women/wfd-09-the-netherlands-v-romania/#statistics","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group D","2021-08-24 21:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","BTarena, Cluj-Napoca","https://women.volleybox.net/tr/btarena-a3209/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/img/light-px.png","Finlandiya","https://women.volleybox.net/tr/romania-finland-c75844","43","3 yıl önce önce  tarafından eklendi","","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46349","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group D","2021-08-25 20:30","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","BTarena, Cluj-Napoca","https://women.volleybox.net/tr/btarena-a3209/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/romania-ukraine-c75846","35","3 yıl önce önce  tarafından eklendi","","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46351","Sudo","https://women.volleybox.net/tr/user/Sudo"