"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","rank_editor","rank_editor href","show_predictions","show_movies 2","show_movies href"
",  Group B","2019-08-03 15:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/china-germany-c176656","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group B","2019-08-04 15:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/china-turkey-c176658","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  1st match","2021-05-01 13:20","Tokyo Challenge Cup 2021","https://women.volleybox.net/tr/women-tokyo-challenge-cup-2021-o19256/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","Çin","https://women.volleybox.net/tr/japan-china-c60283","4 yıl önce önce  tarafından eklendi","","1","sitenoise","https://women.volleybox.net/tr/user/sitenoise","","",""
",  round robin - 1st round","2021-05-25 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/china-south-korea-c69059","4 yıl önce önce  tarafından eklendi","","1","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou","64","1","https://en.volleyballworld.com/volleyball/competitions/vnl-2021/schedule/11834/#teamstats"
",  round robin - 2nd round","2021-05-26 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/china-japan-c69065","4 yıl önce önce  tarafından eklendi","","1","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou","67","1","https://cdn6.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-11-Cina-Giappone-0-3.jpg"
",  round robin - 3rd round","2021-05-27 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/china-thailand-c71710","4 yıl önce önce  tarafından eklendi","S…k","2","","","64","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-21-Cina-Thailandia-3-0.jpg"
",  round robin - 4th round","2021-05-31 14:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/china-germany-c70039","4 yıl önce önce  tarafından eklendi","S…k","","","","67","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-27-Cina-Germania-3-2.jpg"
",  round robin - 5th round","2021-06-01 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c70049","4 yıl önce önce  tarafından eklendi","S…k","1","","","57","1","https://cdn5.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-37-Cina-canada-2-3.jpg"
",  round robin - 6th round","2021-06-02 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/china-turkey-c70057","4 yıl önce önce  tarafından eklendi","S…k","","","","56","1","https://cdn5.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-45-Cina-Turchia-0-3.jpg"
",  round robin - 7th round","2021-06-06 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/china-belgium-c70061","4 yıl önce önce  tarafından eklendi","S…k","1","","","56","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312092"
",  round robin - 8th round","2021-06-07 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/china-serbia-c70072","4 yıl önce önce  tarafından eklendi","S…k","","","","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312245"
",  round robin - 9th round","2021-06-08 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/china-brazil-c70081","4 yıl önce önce  tarafından eklendi","S…k","2","","","53","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312360"
",  round robin - 10th round","2021-06-12 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/china-netherlands-c70089","4 yıl önce önce  tarafından eklendi","S…k","","","","58","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313599"
",  round robin - 11th round","2021-06-13 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/dominican-republic-china-c70096","4 yıl önce önce  tarafından eklendi","S…k","","","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313784"
",  round robin - 12nd round","2021-06-14 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c70105","4 yıl önce önce  tarafından eklendi","S…k","","","","59","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256313855"
",  round robin - 13rd round","2021-06-18 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c70115","4 yıl önce önce  tarafından eklendi","S…k","","","","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314190"
",  round robin - 14th round","2021-06-19 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/china-poland-c70123","4 yıl önce önce  tarafından eklendi","S…k","","","","54","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314286"
",  round robin - 15th round","2021-06-20 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c70130","4 yıl önce önce  tarafından eklendi","S…k","","","","55","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256314329"
",  Group B","2021-07-25 10:25","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/china-turkey-c40165","4 yıl önce önce  tarafından eklendi","","6","sitenoise","https://women.volleybox.net/tr/user/sitenoise","72","1","https://olympics.com/tokyo-2020/olympic-games/es/resultados/voleibol/resultado-femenino-gpb-000300-.htm"
",  Group B","2021-07-27 05:05","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/china-usa-c40167","4 yıl önce önce  tarafından eklendi","","2","sitenoise","https://women.volleybox.net/tr/user/sitenoise","76","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256318521"
",  Group B","2021-07-29 10:25","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c40170","4 yıl önce önce  tarafından eklendi","","2","sitenoise","https://women.volleybox.net/tr/user/sitenoise","74","1","https://olympics.com/tokyo-2020/olympic-games/resOG2020-/pdf/OG2020-/VVO/OG2020-_VVO_C73_VVOWTEAM6-------------GPB-000800--.pdf"
",  Group B","2021-07-31 15:45","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c40174","4 yıl önce önce  tarafından eklendi","","1","sitenoise","https://women.volleybox.net/tr/user/sitenoise","72","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256319474"
",  Group B","2021-08-02 10:25","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/china-argentina-c40177","4 yıl önce önce  tarafından eklendi","","","sitenoise","https://women.volleybox.net/tr/user/sitenoise","75","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256319841"