"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","show_movies","show_movies href"
",  Round Robin","2024-06-09 03:00","NORCECA Final Four 2024","https://women.volleybox.net/tr/women-norceca-final-four-2024-o34408/matches","El Coliseo Salvador Dijols, Ponce","https://women.volleybox.net/tr/el-coliseo-salvador-dijols-a5536/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c233278","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","",""
",  Round Robin","2024-06-10 01:00","NORCECA Final Four 2024","https://women.volleybox.net/tr/women-norceca-final-four-2024-o34408/matches","El Coliseo Salvador Dijols, Ponce","https://women.volleybox.net/tr/el-coliseo-salvador-dijols-a5536/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","3 : 1","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/upload/teams/nt_flag_Costa_Rica.png","Kosta Rika","https://women.volleybox.net/tr/cuba-costa-rica-c233279","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group B","2024-06-27 02:00","NORCECA Pan American Cup Final Six 2024","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2024-o33427/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c234303","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group B","2024-06-28 02:00","NORCECA Pan American Cup Final Six 2024","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2024-o33427/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c234305","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","",""
",  5th place match","2024-06-30 22:00","NORCECA Pan American Cup Final Six 2024","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2024-o33427/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/canada-cuba-c236950","11 ay önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group B","2024-08-19 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c245751","10 ay önce önce  tarafından eklendi","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH4.pdf"
",  Group B","2024-08-19 23:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/cuba-costa-rica-c245753","10 ay önce önce  tarafından eklendi","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH8.pdf"
",  Group B","2024-08-21 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/usa-cuba-c245758","10 ay önce önce  tarafından eklendi","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH18.pdf"
",  Group B","2024-08-22 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/cuba-argentina-c245761","10 ay önce önce  tarafından eklendi","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH24.pdf"
",  Group B","2024-08-22 23:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/chile-cuba-c245763","10 ay önce önce  tarafından eklendi","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH28.pdf"
",  7-10 places","2024-08-24 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/cuba-canada-c249349","9 ay önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH32.pdf"
",  9th place match","2024-08-25 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/cuba-peru-c249413","9 ay önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","",""