"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","connected_by","rank_editor","rank_editor href","show_movies 2","show_movies href","rank_user","rank_user href"
",  Group E","2021-05-08 18:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Le Phare, Belfort","https://women.volleybox.net/tr/le-phare-a1538/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","2 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/france-hungary-c67657","42","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-09 20:30","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Le Phare, Belfort","https://women.volleybox.net/tr/le-phare-a1538/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","3 : 0","https://women.volleybox.net/tr/denmark-t796/matches","https://volleybox.net/media/upload/teams/nt_flag_Denmark.png","Danimarka","https://women.volleybox.net/tr/hungary-denmark-c67659","41","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-14 20:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/img/light-px.png","İsrail","https://women.volleybox.net/tr/hungary-israel-c67650","42","2","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-15 20:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Danimarka","https://women.volleybox.net/tr/denmark-t796/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/denmark-hungary-c67652","40","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group E","2021-05-16 17:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/france-hungary-c67654","40","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-05-28 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c71798","22","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-05-29 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/hungary-belarus-c71793","29","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-05-30 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c71795","28","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40325","",""
",  Group C","2021-06-02 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c71810","27","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40439","",""
",  Group C","2021-06-03 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/hungary-belarus-c71808","27","1","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-06-04 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c71802","28","","4 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  1st match","2021-08-05 20:30","Savaria Cup 2021","https://women.volleybox.net/tr/women-savaria-cup-2021-o20999/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","Azerbaycan","https://women.volleybox.net/tr/hungary-azerbaijan-c79817","","1","3 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  2nd match","2021-08-06 20:30","Savaria Cup 2021","https://women.volleybox.net/tr/women-savaria-cup-2021-o20999/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c79819","","1","3 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  3rd match","2021-08-07 20:30","Savaria Cup 2021","https://women.volleybox.net/tr/women-savaria-cup-2021-o20999/matches","Arena Savaria, Szombathely","https://women.volleybox.net/tr/arena-savaria-a2395/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/hungary-netherlands-c79821","","1","3 yıl önce önce  tarafından eklendi","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group C","2021-08-20 21:15","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","Slovakya","https://women.volleybox.net/tr/hungary-slovakia-c75819","45","1","3 yıl önce önce  tarafından eklendi","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46323","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group C","2021-08-21 21:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/switzerland-t1201/matches","https://volleybox.net/media/img/light-px.png","İsviçre","https://women.volleybox.net/tr/hungary-switzerland-c75824","45","1","3 yıl önce önce  tarafından eklendi","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46325","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group C","2021-08-22 21:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/italy-hungary-c75826","47","1","3 yıl önce önce  tarafından eklendi","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46327","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group C","2021-08-24 18:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/hungary-croatia-c75829","47","1","3 yıl önce önce  tarafından eklendi","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46330","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  Group C","2021-08-25 19:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/belarus-hungary-c75831","37","1","3 yıl önce önce  tarafından eklendi","","","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46332","Sudo","https://women.volleybox.net/tr/user/Sudo"
",  1/8 round","2021-08-29 21:00","Avrupa Şampiyonası 2021","https://women.volleybox.net/tr/women-european-championships-2021-o12790/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/serbia-hungary-c82129","43","1","3 yıl önce önce  tarafından eklendi","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=46413","",""