"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_predictions","show_movies","rank_moderator","rank_moderator href","rank_newbie","rank_newbie href"
",  Round Robin","2022-08-11 03:00","Pan Amerikan Oyunları için Yeterlilik 2023","https://women.volleybox.net/tr/women-pan-american-games-qualification-2023-o25525/matches","Aldo Cantoni Stadium, San Juan","https://women.volleybox.net/tr/aldo-cantoni-stadium-a20/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c124284","2 yıl önce önce  tarafından eklendi","Adrian HS","https://women.volleybox.net/tr/user/AdrianHS","","","","","",""
",  Group A","2023-08-07 23:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","Peru","https://women.volleybox.net/tr/usa-peru-c182862","1 yıl önce önce  tarafından eklendi","","","47","1","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group A","2023-08-08 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/peru-costa-rica-c184962","1 yıl önce önce  tarafından eklendi","","","40","1","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group A","2023-08-09 23:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/canada-peru-c182855","1 yıl önce önce  tarafından eklendi","","","53","","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group A","2023-08-10 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c182841","1 yıl önce önce  tarafından eklendi","","","51","","avid","https://women.volleybox.net/tr/user/avid","",""
",  7-10 places","2023-08-11 23:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/peru-chile-c186332","1 yıl önce önce  tarafından eklendi","","","23","","avid","https://women.volleybox.net/tr/user/avid","",""
",  5-8 places","2023-08-12 23:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/canada-peru-c186478","1 yıl önce önce  tarafından eklendi","","","22","","avid","https://women.volleybox.net/tr/user/avid","",""
",  5th place match","2023-08-13 21:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c186625","1 yıl önce önce  tarafından eklendi","J…e","","27","","","","",""
",  Round Robin","2023-08-20","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/argentina-peru-c181400","1 yıl önce önce  tarafından eklendi","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-22","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c181404","1 yıl önce önce  tarafından eklendi","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-23 02:30","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/brazil-peru-c181407","1 yıl önce önce  tarafından eklendi","","","","1","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Round Robin","2023-08-24","Güney Amerika Şampiyonası 2023","https://women.volleybox.net/tr/women-south-american-championships-2023-o30253/matches","Ginásio Geraldo Magalhães - Geraldão, Recife","https://women.volleybox.net/tr/ginasio-geraldo-magalhaes-geraldao-a847/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/peru-chile-c181408","1 yıl önce önce  tarafından eklendi","","","","","","","marianacohen","https://women.volleybox.net/tr/user/marianacohen"
",  Group 2","2023-09-16 19:25","Dünya Kupası 2023","https://women.volleybox.net/tr/women-fivb-world-cup-2023-o40052/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/japan-peru-c297639","1 ay önce önce  tarafından eklendi","Ali Emre Karanfil","https://women.volleybox.net/tr/user/AliEmreKaranfil","","","","","",""
",  Group 2","2023-09-17 16:00","Dünya Kupası 2023","https://women.volleybox.net/tr/women-fivb-world-cup-2023-o40052/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/brazil-peru-c297647","1 ay önce önce  tarafından eklendi","Ali Emre Karanfil","https://women.volleybox.net/tr/user/AliEmreKaranfil","","","","","",""
",  Group 2","2023-09-19 13:00","Dünya Kupası 2023","https://women.volleybox.net/tr/women-fivb-world-cup-2023-o40052/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/turkey-peru-c297649","1 ay önce önce  tarafından eklendi","Ali Emre Karanfil","https://women.volleybox.net/tr/user/AliEmreKaranfil","","","","","",""